NAME                                 VERSION               TYPE                         
Process Wrapper                      0.0.0.0               binary        (+1 duplicate)  
acl-libs                             2.3.2-r1              apk                           
activity                             5.0.0-dev.0           npm                           
agetty                               2.41-r9               apk                           
alpine-baselayout                    3.7.0-r0              apk                           
alpine-baselayout-data               3.7.0-r0              apk                           
alpine-keys                          2.5-r0                apk                           
alpine-release                       3.22.2-r0             apk                           
alsa-lib                             1.2.14-r0             apk                           
amphp/amp                            v2.6.4                php-composer                  
amphp/byte-stream                    v1.8.2                php-composer                  
amphp/parallel                       v1.4.4                php-composer                  
amphp/parser                         v1.1.1                php-composer                  
amphp/process                        v1.1.9                php-composer                  
amphp/serialization                  v1.0.0                php-composer                  
amphp/sync                           v1.4.2                php-composer                  
andrewdalpino/okbloomer              1.0.0                 php-composer                  
anstream                             0.6.8                 rust-crate                    
anstyle                              1.0.4                 rust-crate                    
anstyle-parse                        0.2.3                 rust-crate                    
anstyle-query                        1.0.2                 rust-crate                    
anyhow                               1.0.79                rust-crate                    
anyhow                               1.0.98                rust-crate                    
aom-libs                             3.12.1-r0             apk                           
apache2-utils                        2.4.65-r0             apk                           
apk-tools                            2.14.9-r3             apk                           
apr                                  1.7.5-r0              apk                           
apr-util                             1.6.3-r1              apk                           
arg_enum_proc_macro                  0.3.4                 rust-crate                    
argon2-libs                          20190702-r5           apk                           
arrayvec                             0.7.4                 rust-crate                    
av-metrics                           0.9.1                 rust-crate                    
av1-grain                            0.2.3                 rust-crate                    
avahi-libs                           0.8-r21               apk                           
aws/aws-crt-php                      v1.2.7                php-composer                  
aws/aws-sdk-php                      3.349.3               php-composer                  
bamarni/composer-bin-plugin          1.8.2                 php-composer                  
bantu/ini-get-wrapper                v1.0.1                php-composer                  
bash                                 5.2.37-r0             apk                           
bitflags                             2.4.1                 rust-crate                    
bitstream-io                         2.2.0                 rust-crate                    
bitstream-io                         2.6.0                 rust-crate                    
bitvec                               1.0.1                 rust-crate                    
bitvec_helpers                       3.1.6                 rust-crate                    
blkid                                2.41-r9               apk                           
brick/math                           0.12.1                php-composer                  
brotli-libs                          1.1.0-r2              apk                           
busybox                              1.37.0-r19            apk                           
busybox-binsh                        1.37.0-r19            apk                           
c-ares                               1.34.5-r0             apk                           
c-client                             2007f-r15             apk                           
ca-certificates                      20250911-r0           apk                           
ca-certificates-bundle               20250911-r0           apk                           
cairo                                1.18.4-r0             apk                           
catatonit                            0.2.1-r0              apk                           
cfdisk                               2.41-r9               apk                           
cfg-if                               1.0.0                 rust-crate                    
christian-riesen/base32              1.6.0                 php-composer                  
cjson                                1.7.18-r1             apk                           
clap                                 4.4.14                rust-crate                    
clap_builder                         4.4.14                rust-crate                    
clap_complete                        4.4.6                 rust-crate                    
clap_derive                          4.4.7                 rust-crate                    
clap_lex                             0.6.0                 rust-crate                    
colorchoice                          1.0.0                 rust-crate                    
composer                             2.8.12                binary                        
console                              0.15.8                rust-crate                    
coreutils                            9.7-r1                apk                           
coreutils-env                        9.7-r1                apk                           
coreutils-fmt                        9.7-r1                apk                           
coreutils-sha512sum                  9.7-r1                apk                           
crc                                  3.3.0                 rust-crate                    
crc-catalog                          2.4.0                 rust-crate                    
crossbeam                            0.8.4                 rust-crate                    
crossbeam-channel                    0.5.14                rust-crate                    
crossbeam-deque                      0.8.5                 rust-crate                    
crossbeam-epoch                      0.9.18                rust-crate                    
crossbeam-queue                      0.3.11                rust-crate                    
crossbeam-utils                      0.8.19                rust-crate                    
cups-libs                            2.4.11-r0             apk                           
curl                                 8.14.1-r2             apk                           
cweagans/composer-patches            1.7.3                 php-composer                  
dbus-libs                            1.16.2-r1             apk                           
deepdiver/zipstreamer                v2.0.3                php-composer                  
deepdiver1975/tarstreamer            v2.1.0                php-composer                  
dmesg                                2.41-r9               apk                           
doctrine/dbal                        3.10.2                php-composer                  
doctrine/deprecations                1.1.5                 php-composer                  
doctrine/event-manager               2.0.1                 php-composer                  
doctrine/lexer                       3.0.1                 php-composer                  
dolby_vision                         3.3.1                 rust-crate                    
egulias/email-validator              4.0.4                 php-composer                  
either                               1.9.0                 rust-crate                    
errno                                0.3.8                 rust-crate                    
fern                                 0.6.2                 rust-crate                    
ffmpeg                               6.1.2-r2              apk                           
ffmpeg-libavcodec                    6.1.2-r2              apk                           
ffmpeg-libavdevice                   6.1.2-r2              apk                           
ffmpeg-libavfilter                   6.1.2-r2              apk                           
ffmpeg-libavformat                   6.1.2-r2              apk                           
ffmpeg-libavutil                     6.1.2-r2              apk                           
ffmpeg-libpostproc                   6.1.2-r2              apk                           
ffmpeg-libswresample                 6.1.2-r2              apk                           
ffmpeg-libswscale                    6.1.2-r2              apk                           
fftw-double-libs                     3.3.10-r6             apk                           
files_downloadlimit                  5.0.0-dev.0           npm                           
files_pdfviewer                      5.0.0-dev.0           npm                           
findmnt                              2.41-r9               apk                           
